323626	ag
sad	 buồn
fat	béo
gay	bede
fit	vừa vặn
shy	bẽn lẽn, thẹn thùng
bald	hói
data	dữ liệu
calm	 điềm tĩnh
pale	xanh xao, nhợt nhạt
dark	da đen
keen	 ham thích, tha thiết
dyed	tóc nhuộm
lank	tóc thẳng và rủ xuống
neat	tóc chải chuốc cẩn thận
scar	sẹo
tape	ghi băng, băng
disk	đĩa
tall	cao
mole	 nốt ruồi
grin	cười nhăn răng
dull	mắt lờ đờ
easy	going dễ tính
thin	gầy
slim	gầy, mảnh khảnh
less	ít hơn
sulk	phiền muộn
user	người dùng
hurt	 tổn thương
wavy	 tóc lượn sóng
jaded	 chán ngấy
pout	bĩu môi
rosy	 hồng hào
beard	 râu
bored	 chán
obese	béo phì
frail	yếu đuối, mỏng manh
laugh	cười to
great	 tuyệt vời
handy	tháo vát
hello	chào
equal	bằng
tired	 mệt
smile	cười mỉm
cruel	độc ác
tense	căng thẳng
angry	 tức giận
happy	hạnh phúc
moody	 hay có tâm trạng
scowl	 cau có
pulse	xung
cross	 bực mình
jolly	vui vẻ
frown	nhăn mặt
store	lưu trữ
silly	ngu ngốc
plump	 tròn trĩnh
curly	tóc xoăn
input	vào, nhập vào
short	thấp, lùn
upset	 tức giận hoặc không vui
pasty	xanh xao
handle	giải quyết, xử lý
mousy	 màu xám lông chuột
stout	hơi béo
device	thiết bị
witty	dí dỏm
scared	 sợ hãi
blonde	 tóc vàng
ginger	đỏ hoe
signal	tín hiệu
amused	vui vẻ
racism	nạn phân biệt chủng tộc
gentle	hiền lành
brainy	thông minh
school	trường học
modest	khiêm tốn
polite	lịch sự
honest	chân thật
switch	chuyển
sallow	 vàng vọt
memory	bộ nhớ
strict	nghiêm khắc
skinny	ốm, gầy
a fringe	 tóc cắt ngang trán
stocky	chắc nịch
untidy	không chải chuốc, rối xù
cheated	 bị lừa
ashamed	xấu hổ
grimace	nhăn nhó
logical	một cách logic
disease	bệnh dịch
frizzy	 tóc uốn thành búp
output	ra, đưa ra
relaxed	thư giãn, thoải mái
address	địa chỉ
excited	 phấn khích, hứng thú
suicide	sự tự tử
greater	lớn hơn
feature	thuộc tính
let down	 thất vọng
slender	mảnh khảnh
annoyed	bực mình
selfish	ích kỷ, keo kiệt
helpful	có ích
tallish	cao dong dỏng
circuit	mạch
numeric	số học, thuộc về số học
jealous	 ganh tị
amusing	 vui
complex	phức tạp
stammer	nói lắp bắp
perform	tiến hành, thi hành
worried	 lo lắng
process	xử lý
convert	chuyển đổi
unhappy	 buồn
anxious	 lo lắng
envious	 thèm muốn, đố kỵ
serious	 nghiêm túc
furious	giận giữ, điên tiết 
reliable	có thể tin tưởng
sociable	hòa đồng
nervous	 căng thẳng
appalled	rất sốc
